,year,country,my_value,x_index,y_index
145,"(1981, 1991]",Japan,1.0,8,5
146,"(1981, 1991]",Netherlands,1.0,8,6
147,"(1981, 1991]",Norway,1.0,8,9
148,"(1981, 1991]",Russia,1.0,8,7
149,"(1981, 1991]",Spain,1.0,8,16
150,"(1981, 1991]",Sweden,3.0,8,3
151,"(1981, 1991]",Switzerland,3.0,8,4
152,"(1981, 1991]",United Kingdom,6.0,8,0
153,"(1991, 2001]",Austria,0.0,9,13
154,"(1991, 2001]",Belgium,0.0,9,14
155,"(1991, 2001]",Canada,4.0,9,12
156,"(1991, 2001]",Denmark,1.0,9,10
157,"(1991, 2001]",France,3.0,9,2
158,"(1991, 2001]",Germany,6.0,9,1
159,"(1991, 2001]",Hungary,1.0,9,15
160,"(1991, 2001]",Israel,2.0,9,11
161,"(1991, 2001]",Italy,1.0,9,8
162,"(1991, 2001]",Japan,3.0,9,5
163,"(1991, 2001]",Netherlands,3.0,9,6
164,"(1991, 2001]",Norway,0.0,9,9
165,"(1991, 2001]",Russia,1.0,9,7
166,"(1991, 2001]",Spain,0.0,9,16
167,"(1991, 2001]",Sweden,1.0,9,3
168,"(1991, 2001]",Switzerland,2.0,9,4
169,"(1991, 2001]",United Kingdom,9.0,9,0
170,"(2001, 2011]",Austria,2.0,10,13
171,"(2001, 2011]",Belgium,0.0,10,14
172,"(2001, 2011]",Canada,0.0,10,12
173,"(2001, 2011]",Denmark,0.0,10,10
174,"(2001, 2011]",France,6.0,10,2
175,"(2001, 2011]",Germany,5.0,10,1
176,"(2001, 2011]",Hungary,1.0,10,15
177,"(2001, 2011]",Israel,6.0,10,11
178,"(2001, 2011]",Italy,0.0,10,8
179,"(2001, 2011]",Japan,6.0,10,5
180,"(2001, 2011]",Netherlands,1.0,10,6
181,"(2001, 2011]",Norway,1.0,10,9
182,"(2001, 2011]",Russia,1.0,10,7
183,"(2001, 2011]",Spain,1.0,10,16
184,"(2001, 2011]",Sweden,1.0,10,3
185,"(2001, 2011]",Switzerland,1.0,10,4
186,"(2001, 2011]",United Kingdom,7.0,10,0
